ID,Age,Gender,Skin_Type,Skin_Concerns,Products_Used,Usage_Frequency,Brand_Preference,Derm_Recommendation,Location
1,30,Male,Combination,['Pigmentation'],"['Vitamin C', 'Cleanser', 'Niacinamide']",Daily,"['Nivea', 'Minimalist', 'Himalaya']",Balance T-zone with lightweight products. Use vitamin C serum daily.,Urban
2,43,Male,Oily,"['Pigmentation', 'Uneven tone', 'Dark spots']","['Moisturizer', 'Retinol', 'Niacinamide', 'Sunscreen', 'Cleanser']",Daily,"['Nivea', 'Plum', 'Himalaya']",Use salicylic acid cleanser and oil-free moisturizer. Use vitamin C serum daily. Try AHAs and vitamin C. Niacinamide and sunscreen are key.,Urban
3,43,Female,Oily,['Blackheads'],"['Sunscreen', 'Exfoliator']",Alternate Days,['Himalaya'],Use salicylic acid cleanser and oil-free moisturizer. Use BHA exfoliant twice weekly.,Rural
4,27,Male,Sensitive,['Dark spots'],"['Exfoliator', 'Vitamin C', 'Niacinamide', 'Sunscreen']",Daily,"['Minimalist', 'Biotique', 'Mamaearth']","Use fragrance-free, gentle products only. Niacinamide and sunscreen are key.",Rural
5,26,Male,Oily,"['Wrinkles', 'Blackheads']","['Moisturizer', 'Sunscreen', 'Vitamin C', 'Exfoliator']",Alternate Days,"['Himalaya', 'Biotique', 'Minimalist']",Use salicylic acid cleanser and oil-free moisturizer. Include retinol at night. Use BHA exfoliant twice weekly.,Urban
6,49,Male,Dry,"['Blackheads', 'Wrinkles']","['Vitamin C', 'Sunscreen', 'Cleanser']",Daily,['Biotique'],Use hydrating cleanser and thick moisturizer. Use BHA exfoliant twice weekly. Include retinol at night.,Rural
7,32,Female,Oily,['Dark spots'],"['Moisturizer', 'Vitamin C', 'Retinol', 'Niacinamide']",Weekly,['Plum'],Use salicylic acid cleanser and oil-free moisturizer. Niacinamide and sunscreen are key.,Urban
8,47,Female,Sensitive,"['Blackheads', 'Wrinkles', 'Pigmentation']","['Niacinamide', 'Retinol', 'Cleanser']",Daily,['Mamaearth'],"Use fragrance-free, gentle products only. Use BHA exfoliant twice weekly. Include retinol at night. Use vitamin C serum daily.",Urban
9,25,Male,Sensitive,"['Dark spots', 'Blackheads']","['Niacinamide', 'Cleanser', 'Vitamin C', 'Sunscreen']",Alternate Days,['Plum'],"Use fragrance-free, gentle products only. Niacinamide and sunscreen are key. Use BHA exfoliant twice weekly.",Rural
10,36,Female,Oily,"['Uneven tone', 'Wrinkles', 'Dark spots']","['Niacinamide', 'Cleanser', 'Sunscreen']",Daily,['Plum'],Use salicylic acid cleanser and oil-free moisturizer. Try AHAs and vitamin C. Include retinol at night. Niacinamide and sunscreen are key.,Urban
11,29,Male,Combination,"['Acne', 'Dryness']","['Exfoliator', 'Sunscreen', 'Moisturizer', 'Cleanser']",Daily,"['Minimalist', 'Biotique', 'Nivea']",Balance T-zone with lightweight products. Add niacinamide or benzoyl peroxide. Layer with hyaluronic acid serum.,Urban
12,21,Male,Dry,"['Blackheads', 'Dark spots', 'Pigmentation']","['Niacinamide', 'Exfoliator', 'Retinol', 'Moisturizer']",Daily,"['Plum', 'Nivea', 'Biotique']",Use hydrating cleanser and thick moisturizer. Use BHA exfoliant twice weekly. Niacinamide and sunscreen are key. Use vitamin C serum daily.,Rural
13,27,Female,Oily,['Pigmentation'],"['Sunscreen', 'Cleanser']",Daily,"['Mamaearth', 'Minimalist', 'Himalaya']",Use salicylic acid cleanser and oil-free moisturizer. Use vitamin C serum daily.,Urban
14,20,Male,Oily,"['Acne', 'Dark spots']","['Sunscreen', 'Vitamin C', 'Retinol']",Daily,"['Mamaearth', 'Himalaya', 'Cetaphil']",Use salicylic acid cleanser and oil-free moisturizer. Add niacinamide or benzoyl peroxide. Niacinamide and sunscreen are key.,Rural
15,37,Female,Sensitive,['Acne'],"['Vitamin C', 'Retinol']",Alternate Days,"['Nivea', 'Biotique']","Use fragrance-free, gentle products only. Add niacinamide or benzoyl peroxide.",Urban
16,28,Male,Sensitive,"['Wrinkles', 'Acne', 'Pigmentation']","['Moisturizer', 'Niacinamide', 'Retinol']",Daily,"['Mamaearth', 'Plum']","Use fragrance-free, gentle products only. Include retinol at night. Add niacinamide or benzoyl peroxide. Use vitamin C serum daily.",Rural
17,37,Male,Sensitive,"['Acne', 'Dryness', 'Dark spots']","['Cleanser', 'Moisturizer']",Daily,"['Nivea', 'Biotique']","Use fragrance-free, gentle products only. Add niacinamide or benzoyl peroxide. Layer with hyaluronic acid serum. Niacinamide and sunscreen are key.",Urban
18,22,Male,Dry,"['Acne', 'Blackheads']","['Exfoliator', 'Retinol', 'Sunscreen', 'Vitamin C']",Weekly,['Mamaearth'],Use hydrating cleanser and thick moisturizer. Add niacinamide or benzoyl peroxide. Use BHA exfoliant twice weekly.,Rural
19,33,Male,Oily,"['Wrinkles', 'Acne', 'Uneven tone']","['Niacinamide', 'Exfoliator', 'Moisturizer', 'Cleanser', 'Sunscreen']",Daily,['Minimalist'],Use salicylic acid cleanser and oil-free moisturizer. Include retinol at night. Add niacinamide or benzoyl peroxide. Try AHAs and vitamin C.,Urban
20,46,Female,Oily,"['Pigmentation', 'Dark spots', 'Uneven tone']","['Niacinamide', 'Cleanser']",Weekly,"['Cetaphil', 'Biotique', 'Himalaya']",Use salicylic acid cleanser and oil-free moisturizer. Use vitamin C serum daily. Niacinamide and sunscreen are key. Try AHAs and vitamin C.,Rural
21,21,Male,Combination,['Wrinkles'],"['Moisturizer', 'Vitamin C', 'Sunscreen', 'Retinol', 'Exfoliator']",Daily,['Nivea'],Balance T-zone with lightweight products. Include retinol at night.,Urban
22,25,Male,Combination,['Wrinkles'],"['Moisturizer', 'Sunscreen']",Alternate Days,['Nivea'],Balance T-zone with lightweight products. Include retinol at night.,Rural
